,Unnamed: 0,UDI,Machine_Id,Machine_type,Air_Temp_K,Process_Temp_K, Rotational_Speed_RPM,Torque_Nm,Tool_Wear_Min,Machine_Failure,Tool_Wear_Failure,Heat_Dissipation_Failure,Power_Failure,Overstrain_Failure,Random_Failure,temperature_diff,Total_failure_count,Torque_Category,RPM_type,Tool_Wear_type,High_Risk_flag
24,24,25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,0,Medium,Medium,Low,No
25,25,26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,0,Low,High,Low,No
26,26,27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,0,Medium,Medium,Low,No
27,27,28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,0,Low,High,Low,No
28,28,29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,0,Medium,Medium,Medium,No
29,29,30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,0,Medium,High,Medium,No
30,30,31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,0,High,Medium,Medium,No
31,31,32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,0,High,High,Medium,No
32,32,33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,0,High,Medium,Medium,No
33,33,34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,0,Medium,High,Medium,No
34,34,35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,Medium,No
35,35,36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,0,High,Medium,Medium,No
36,36,37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,Medium,No
37,37,38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,Medium,No
38,38,39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,0,High,Medium,Medium,No
39,39,40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,0,High,Medium,Medium,No
40,40,41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,0,High,Medium,Medium,No
41,41,42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,0,High,Medium,Medium,No
42,42,43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,0,High,Medium,Medium,No
43,43,44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,0,High,Medium,Medium,No
44,44,45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,0,High,Medium,Medium,No
45,45,46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,0,High,Medium,Medium,No
46,46,47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,0,High,High,Medium,No
47,47,48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,0,High,Medium,High,No
48,48,49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,0,High,Medium,High,No
49,49,50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,High,No
50,50,51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,1,Low,High,High,No
51,51,52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,0,High,Medium,High,No
52,52,53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,0,Medium,Medium,High,No
53,53,54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,High,No
54,54,55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,0,Medium,High,High,No
55,55,56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,High,No
56,56,57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,High,No
57,57,58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,High,No
58,58,59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,0,Medium,High,High,No
59,59,60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,0,High,Medium,High,No
60,60,61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,0,High,Medium,High,No
61,61,62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,0,Medium,Medium,High,No
62,62,63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,0,Low,High,High,No
63,63,64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,0,High,High,High,No
64,64,65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,0,Medium,Medium,High,No
65,65,66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,0,High,Medium,High,No
66,66,67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,0,Medium,High,High,No
67,67,68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,0,Medium,Medium,High,No
68,68,69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,0,Medium,Medium,High,No
69,69,70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,2,High,Medium,High,No
70,70,71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,0,Low,High,High,No
71,71,72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,0,High,Medium,High,No
72,72,73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,0,Medium,Medium,High,No
73,73,74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,0,Medium,Medium,High,No
74,74,75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,0,Medium,Medium,High,No
75,75,76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,0,High,Medium,High,No
76,76,77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,0,High,Medium,High,No
77,77,78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,1,Medium,Medium,High,No
78,78,79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,0,High,Medium,Low,No
79,79,80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,0,Medium,Medium,Low,No
80,80,81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,0,High,Medium,Low,No
81,81,82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,0,High,Medium,Low,No
82,82,83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,0,Medium,Medium,Low,No
83,83,84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,0,Medium,Medium,Low,No
84,84,85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,0,High,Medium,Low,No
85,85,86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,0,Medium,High,Low,No
86,86,87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,0,Medium,Medium,Low,No
87,87,88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,0,Medium,Medium,Low,No
88,88,89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,0,High,Medium,Low,No
89,89,90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,0,Medium,Medium,Low,No
90,90,91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,0,High,High,Low,No
91,91,92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,0,Low,High,Low,No
92,92,93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,0,Medium,High,Low,No
93,93,94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,0,Medium,Medium,Low,No
94,94,95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,0,Medium,Medium,Low,No
95,95,96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,0,High,Medium,Low,No
96,96,97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,0,Medium,Medium,Low,No
97,97,98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,0,Medium,High,Low,No
98,98,99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,0,Medium,Medium,Low,No
99,99,100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,0,Medium,Medium,Low,No
100,100,101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,0,Low,High,Low,No
101,101,102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,0,Low,High,Low,No
102,102,103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,0,Medium,Medium,Low,No
103,103,104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,0,Medium,Medium,Low,No
104,104,105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,0,Medium,Medium,Low,No
105,105,106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,0,Medium,Medium,Low,No
106,106,107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,0,High,Medium,Low,No
107,107,108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,0,High,Medium,Low,No
108,108,109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,0,Medium,Medium,Low,No
109,109,110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Low,No
110,110,111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,0,Low,High,Medium,No
111,111,112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,0,Medium,Medium,Medium,No
112,112,113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,0,Medium,Medium,Medium,No
113,113,114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Medium,No
114,114,115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,0,Medium,High,Medium,No
115,115,116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,0,High,Medium,Medium,No
116,116,117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Medium,No
117,117,118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Medium,No
118,118,119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,0,Medium,High,Medium,No
119,119,120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Medium,No
120,120,121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Medium,No
121,121,122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Medium,No
122,122,123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,0,High,Medium,Medium,No
123,123,124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Medium,No
124,124,125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,0,Medium,High,Medium,No
125,125,126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,0,Medium,Medium,Medium,No
126,126,127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,0,High,Medium,Medium,No
127,127,128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,0,High,Medium,Medium,No
128,128,129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,0,Medium,Medium,Medium,No
129,129,130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,0,Medium,Medium,Medium,No
130,130,131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,0,Medium,Medium,Medium,No
131,131,132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,0,Medium,High,Medium,No
132,132,133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,0,Medium,Medium,High,No
133,133,134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,0,High,Medium,High,No
134,134,135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,0,High,Medium,High,No
135,135,136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,0,Medium,High,High,No
136,136,137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,0,High,Medium,High,No
137,137,138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,0,High,Medium,High,No
138,138,139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,0,High,Medium,High,No
139,139,140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,0,High,Medium,High,No
140,140,141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,High,No
141,141,142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,High,No
142,142,143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,0,Medium,High,High,No
143,143,144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,0,High,Medium,High,No
144,144,145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,0,Medium,Medium,High,No
145,145,146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,0,Medium,Medium,High,No
146,146,147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,0,Medium,Medium,High,No
147,147,148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,0,Medium,Medium,High,No
148,148,149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,0,High,Medium,High,No
149,149,150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,0,Medium,Medium,High,No
150,150,151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,0,Medium,Medium,High,No
151,151,152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,High,No
152,152,153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,High,No
153,153,154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,0,Medium,High,High,No
154,154,155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,High,No
155,155,156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,0,Low,High,High,No
156,156,157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,0,High,Medium,High,No
157,157,158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,High,No
158,158,159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,High,No
159,159,160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,0,High,Medium,High,No
160,160,161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,1,High,Medium,High,No
161,161,162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,1,High,Medium,High,No
162,162,163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Low,No
163,163,164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Low,No
164,164,165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Low,No
165,165,166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,0,Medium,High,Low,No
166,166,167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Low,No
167,167,168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,0,Medium,Medium,Low,No
168,168,169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,1,High,Medium,Low,No
169,169,170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,0,High,Medium,Low,No
170,170,171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Low,No
171,171,172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,0,High,Medium,Low,No
172,172,173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,0,Low,High,Low,No
173,173,174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,0,Medium,Medium,Low,No
174,174,175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,0,High,Medium,Low,No
175,175,176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,0,Medium,Medium,Low,No
176,176,177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,0,Medium,Medium,Low,No
177,177,178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,0,Low,High,Low,No
178,178,179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,0,High,Medium,Low,No
179,179,180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,0,High,Medium,Low,No
180,180,181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,0,High,Medium,Low,No
181,181,182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,0,Low,High,Low,No
182,182,183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,0,High,Medium,Low,No
183,183,184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,0,Medium,Medium,Low,No
184,184,185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,0,Medium,High,Low,No
185,185,186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,0,Medium,Medium,Low,No
186,186,187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,0,High,Medium,Low,No
187,187,188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,0,Medium,Medium,Low,No
188,188,189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,0,Medium,Medium,Low,No
189,189,190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,0,Medium,Medium,Low,No
190,190,191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,0,High,Medium,Low,No
191,191,192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,0,Medium,High,Low,No
192,192,193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,0,High,Medium,Low,No
193,193,194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,0,Medium,High,Medium,No
194,194,195,M15054,M,298.2,308.5,2678,10.7,86,1,0,0,1,0,0,10.300000000000011,1,Low,High,Medium,No
195,195,196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,0,Medium,Medium,Medium,No
196,196,197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,0,High,Medium,Medium,No
197,197,198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,0,Medium,Medium,Medium,No
198,198,199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,Medium,No
199,199,200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,0,High,Medium,Medium,No
200,200,201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,0,Medium,Medium,Medium,No
201,201,202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,0,Medium,Medium,Medium,No
202,202,203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,0,Medium,Medium,Medium,No
203,203,204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,0,Medium,Medium,Medium,No
204,204,205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,0,Medium,High,Medium,No
205,205,206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000023,0,High,Medium,Medium,No
206,206,207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,0,Medium,Medium,Medium,No
207,207,208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,1,High,Medium,Medium,No
208,208,209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,0,Medium,Medium,Medium,No
209,209,210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000045,0,Medium,Medium,Medium,No
210,210,211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,Medium,No
211,211,212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,0,Medium,Medium,Medium,No
212,212,213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,0,High,Medium,Medium,No
213,213,214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,High,No
214,214,215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,High,No
215,215,216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,High,No
216,216,217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,High,No
217,217,218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,10.199999999999989,0,Medium,High,High,No
218,218,219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,10.300000000000011,0,Medium,Medium,High,No
